ID,Sorszam,IzometrialapID,Izometria,Lap,Suly,DN,Tipus,Munkaora,Datum,Elkeszult %,Elkeszult munkaora,Kategoria,Kulso atmero,Falvastagsag,Elkeszitette,Nyomasfokozat,Hossz,Elkeszult,CsovezetekID
z6y0izmb,1,59sevxse,P200007-030-EMPDIO-0001,3,0.4,25.0,"Fix, csúszó",0.45344,,0.0,0.0,Csotarto,,,,,,,
nfpd64oh,1,0fmqtmlq,P200007-030-EMPDIO-0001,4,0.9,50.0,"Fix, csúszó",0.43524,,0.0,0.0,Csotarto,,,,,,,
iv4sd8eo,2,0fmqtmlq,P200007-030-EMPDIO-0001,4,1.5,25.0,"Fix, csúszó",0.4524,,0.0,0.0,Csotarto,,,,,,,
by2s4obs,1,ji3knp0z,P200007-030-EMPDIO-0001,5,1.8,25.0,"Fix, csúszó",0.47268,,0.0,0.0,Csotarto,,,,,,,
mqask54q,1,s13gu8i4,P200007-030-EMPDIO-0001,6,6.2,25.0,"Fix, csúszó",0.683488,,0.0,0.0,Csotarto,,,,,,,
lruiwham,2,s13gu8i4,P200007-030-EMPDIO-0001,6,6.2,25.0,"Fix, csúszó",0.683488,,0.0,0.0,Csotarto,,,,,,,
emy6vna0,3,s13gu8i4,P200007-030-EMPDIO-0001,6,6.2,25.0,"Fix, csúszó",0.683488,,0.0,0.0,Csotarto,,,,,,,
j75hg97r,4,s13gu8i4,P200007-030-EMPDIO-0001,6,6.2,25.0,"Fix, csúszó",0.683488,,0.0,0.0,Csotarto,,,,,,,
dus5g9n4,5,s13gu8i4,P200007-030-EMPDIO-0001,6,6.2,25.0,"Fix, csúszó",0.683488,,0.0,0.0,Csotarto,,,,,,,
18379yam,6,s13gu8i4,P200007-030-EMPDIO-0001,6,4.0,25.0,"Fix, csúszó",0.6344,,0.0,0.0,Csotarto,,,,,,,
u1o45c2q,1,y7evpjds,P200007-030-EMPDIO-0002,1,6.2,25.0,"Fix, csúszó",0.683488,,0.0,0.0,Csotarto,,,,,,,
myq1zw9h,1,908zwnlp,P200007-030-EMPDIO-0002,2,4.0,25.0,"Fix, csúszó",0.6344,,0.0,0.0,Csotarto,,,,,,,
9756arww,1,8o4q14u8,P200007-030-EMPDIO-0002,3,6.2,25.0,"Fix, csúszó",0.683488,,0.0,0.0,Csotarto,,,,,,,
